ID,FName,MName,LName,Address,City,State,ZipCode
1,Sommer,Liliana,Tibbitts,35607 Culross,Irving,TX,75014
2,Houston,Clay,Mccosker,13944 Nichols,Austin,TX,78714
3,Muriel,Charity,Ngin,18711 Inspirati,Houston,TX,77251
4,Yusuf,Omari,Healey,54701 Kollander,Midkiff,TX,79755
5,Amie,Angelina,Tiznado,11724 Geneva,Girvin,TX,79740
6,Sachar,Noel,Howk,43658 Romanzof,Odessa,TX,79767
7,Launa,Rosemarie,Faulker,97893 Black Pin,Doole,TX,76836
8,Nishu,Lorne,Stankowit,79540 Foothill,Clyde,TX,79510
9,Galatea,Anais,Lady,59780 Kamishak,Amarillo,TX,79184
10,Hadden,Bram,Giacolone,62730 Rustlewoo,Wall,TX,76957
11,Sorley,Felicity,Minecci,90200 Cobblecre,El Paso,TX,79944
12,Natilio,Frederick,Rumple,68711 Rankin,Pleasanton,TX,78064
13,Emmanuel,Eliane,Lazurek,28161 Maritime,Garland,TX,75040
14,Hodgkins,Tao,Lestrange,46500 McMahon,Amarillo,TX,79185
15,Ivory,Janelle,Oeder,19800 Catskill,Flower Mound,TX,75027
16,Bowman,Gregory,Pliml,42088 Jerome,El Paso,TX,88568
17,Pelagia,Bette,Balsis,4320 Taylor,Henrietta,TX,76365
18,Rob,Nathaniel,Sidell,46874 Cosmic,Seadrift,TX,77983
19,Speranza,Leanne,Kirckof,24927 Glenflora,Round Mountain,TX,78663
20,Marton,Donovan,Mundschau,71106 Blacktail,Dallas,TX,75210
21,Arabella,Joy,Wentzell,64770 Friendly,Eola,TX,76937
22,Irving,Miles,Demaria,42317 Cove,London,TX,76854
23,Eilene,Delilah,Mctush,7875 Mockingbi,Arlington,TX,76016
24,Cormac,Judd,Hiske,28763 Meander,San Antonio,TX,78221
25,Twana,Bernadett,Hender,25087 Adak,Chapman Ranch,TX,78347
26,Orville,Teale,Gallegos,87859 Degan,Brownsville,TX,78522
27,Mapiya,Ada,Mittman,85002 Powell,Beaumont,TX,77710
28,Javon,Tobias,Eskra,39620 Petes,San Antonio,TX,78241
29,Kalia,Cassidy,Derastel,89910 Ressel,Dallas,TX,75262
30,Zan,Storm,Sukovaty,65093 Lighthous,Helotes,TX,78023
31,Cheyenne,Amira,Mohseni,36728 Stone,Austin,TX,78735
32,Liberty,William,Hartmann,29800 Kak,Waxahachie,TX,75168
33,Ahonui,Anissa,Mom,2940 Lockheed,Oakland,TX,78951
34,Gullermo,Teale,Flathers,32172 Greenwood,El Paso,TX,88529
35,Easter,Nicoline,Pletz,57535 Dundee,Kingsbury,TX,78638
36,Zethus,Cai,Duskin,76988 Shoshoni,Fulshear,TX,77441
37,Mora,Alanis,Landgren,96941 Camellia,College Station,TX,77844
38,Murdo,Lionel,Brincefie,73812 Opal,Quitman,TX,75783
39,Kalalika,Linda,Langhout,5968 Max,Galveston,TX,77551
40,Camlo,Bran,Gantvoort,60432 Woronzof,Denton,TX,76202
41,Jonie,Simone,Belrose,43739 Kay,Valley Spring,TX,76885
42,Franko,Bruce,Lauinger,51295 Gibson,Fort Worth,TX,76136
43,Enedina,Annette,Niang,54634 Greenwood,Smithville,TX,78957
44,Joshuah,Frederick,Hearne,10944 Baronik,Cameron,TX,76520
